track_id,album_id,album_title,album_url,artist_id,artist_name,artist_url,artist_website,license_image_file,license_image_file_large,license_parent_id,license_title,license_url,tags,track_bit_rate,track_comments,track_composer,track_copyright_c,track_copyright_p,track_date_created,track_date_recorded,track_disc_number,track_duration,track_explicit,track_explicit_notes,track_favorites,track_file,track_genres,track_image_file,track_information,track_instrumental,track_interest,track_language_code,track_listens,track_lyricist,track_number,track_publisher,track_title,track_url
1,58,mp3,http://freemusicarchive.org/music/Abominog/mp3_1_1535/,52,Abominog,http://freemusicarchive.org/music/Abominog/,http://myspace.com/abominog,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,1,,,,11/26/2008 01:43:26 AM,11/26/2008,1,837,,,0,music/WFMU/Abominog/mp3/Abominog_-_Fathers_Day.mp3,"[{'genre_id': '45', 'genre_title': 'Loud-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Loud-Rock/'}, {'genre_id': '58', 'genre_title': 'Psych-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Psych-Rock/'}]",,,0,2484,en,1832,,0,,Father's Day,http://freemusicarchive.org/music/Abominog/mp3_1_1535/Fathers_Day
2,58,mp3,http://freemusicarchive.org/music/Abominog/mp3_1_1535/,52,Abominog,http://freemusicarchive.org/music/Abominog/,http://myspace.com/abominog,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,1,,,,11/26/2008 01:43:35 AM,11/26/2008,1,509,,,0,music/WFMU/Abominog/mp3/Abominog_-_Peel_Back_The_Mountain_Sky.mp3,"[{'genre_id': '45', 'genre_title': 'Loud-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Loud-Rock/'}, {'genre_id': '58', 'genre_title': 'Psych-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Psych-Rock/'}]",,,0,1948,en,1498,,0,,Peel Back The Mountain Sky,http://freemusicarchive.org/music/Abominog/mp3_1_1535/Peel_Back_The_Mountain_Sky
3,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,118,,,0,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_01_-_Ed_De_Goem.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,1514,en,744,,1,,Ed De Goem,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Ed_De_Goem
4,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,118,,,0,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_02_-_2Night.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,2415,en,1367,,2,,2Night,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/2Night
5,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,197,,,0,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_03_-_Haul.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,2412,en,961,,3,,Haul,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Haul
6,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,246,,,1,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_04_-_The_Wrestle.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,2259,en,1154,,4,,The Wrestle,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/The_Wrestle
7,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,208,,,0,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_05_-_Get_Lo.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,2105,en,935,,5,,Get Lo,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Get_Lo
8,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,190,,,1,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_06_-_Companionship.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,2627,en,869,,6,,Companionship,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Companionship
9,1618,Adept Live at WFMU on Keili's Show 10/26/2008,http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/,385,Adept,http://freemusicarchive.org/music/Adept/, www.myspace.com/adeptadept  ,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,10/25/2008,1,1106,,,0,music/WFMU/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Adept_-_100_-_Live_at_WFMU_102508_full_set.mp3,"[{'genre_id': '15', 'genre_title': 'Electronic', 'genre_url': 'http://freemusicarchive.org/genre/Electronic/'}, {'genre_id': '66', 'genre_title': 'Indie-Rock', 'genre_url': 'http://freemusicarchive.org/genre/Indie-Rock/'}]",https://freemusicarchive.org/file/images/artists/Adept_-_2009113014352386.jpg,,0,1404,en,349,,100,,Live at WFMU 10/25/08 (full set),http://freemusicarchive.org/music/Adept/Adept_Live_at_WFMU_on_Keilis_Show_10262008/Live_at_WFMU_102508_full_set
10,969,Live at WFMU on Michael Goodstein's Show on 9/27/2008,http://freemusicarchive.org/music/Ai_Aso/Live_at_WFMU_on_Michael_Goodsteins_Show_on_9272008/,390,Ai Aso,http://freemusicarchive.org/music/Ai_Aso/,,http://i.creativecommons.org/l/by-nc-sa/3.0/us/88x31.png,http://fma-files.s3.amazonaws.com/resources/img/licenses/by-nc-sa.png,5,Attribution-NonCommercial-ShareAlike 3.0 International,http://creativecommons.org/licenses/by-nc-sa/3.0/,[],256000,0,,,,2008,9/19/2008,1,208,,,1,music/WFMU/Ai_Aso/Live_at_WFMU_on_Michael_Goodsteins_Show_on_9272008/Ai_Aso_-_01_-_A_Date.mp3,"[{'genre_id': '17', 'genre_title': 'Folk', 'genre_url': 'http://freemusicarchive.org/genre/Folk/'}]",https://freemusicarchive.org/file/images/artists/Ai_Aso_-_2009113014358706.jpg,,0,2034,en,952,,1,,A Date,http://freemusicarchive.org/music/Ai_Aso/Live_at_WFMU_on_Michael_Goodsteins_Show_on_9272008/A_Date
